country,subject,year,score
AUS,BOY,2015,497
AUS,GIRL,2015,491
AUT,BOY,2015,510
AUT,GIRL,2015,483
BEL,BOY,2015,514
BEL,GIRL,2015,500
CAN,BOY,2015,520
CAN,GIRL,2015,511
CZE,BOY,2015,496
CZE,GIRL,2015,489
DNK,BOY,2015,516
DNK,GIRL,2015,506
FIN,BOY,2015,507
FIN,GIRL,2015,515
FRA,BOY,2015,496
FRA,GIRL,2015,490
DEU,BOY,2015,514
DEU,GIRL,2015,498
GRC,BOY,2015,454
GRC,GIRL,2015,454
HUN,BOY,2015,481
HUN,GIRL,2015,473
ISL,BOY,2015,487
ISL,GIRL,2015,489
IRL,BOY,2015,512
IRL,GIRL,2015,495
ITA,BOY,2015,500
ITA,GIRL,2015,480
JPN,BOY,2015,539
JPN,GIRL,2015,525
KOR,BOY,2015,521
KOR,GIRL,2015,528
LUX,BOY,2015,491
LUX,GIRL,2015,480
MEX,BOY,2015,412
MEX,GIRL,2015,404
NLD,BOY,2015,513
NLD,GIRL,2015,511
NZL,BOY,2015,499
NZL,GIRL,2015,491
NOR,BOY,2015,501
NOR,GIRL,2015,503
POL,BOY,2015,510
POL,GIRL,2015,499
PRT,BOY,2015,497
PRT,GIRL,2015,487
SVK,BOY,2015,478
SVK,GIRL,2015,472
ESP,BOY,2015,494
ESP,GIRL,2015,478
SWE,BOY,2015,493
SWE,GIRL,2015,495
CHE,BOY,2015,527
CHE,GIRL,2015,515
TUR,BOY,2015,423
TUR,GIRL,2015,418
GBR,BOY,2015,498
GBR,GIRL,2015,487
USA,BOY,2015,474
USA,GIRL,2015,465
BRA,BOY,2015,385
BRA,GIRL,2015,370
CHL,BOY,2015,432
CHL,GIRL,2015,413
EST,BOY,2015,522
EST,GIRL,2015,517
IDN,BOY,2015,385
IDN,GIRL,2015,387
ISR,BOY,2015,474
ISR,GIRL,2015,466
RUS,BOY,2015,497
RUS,GIRL,2015,491
SVN,BOY,2015,512
SVN,GIRL,2015,508
OAVG,BOY,2015,494
OAVG,GIRL,2015,486
LVA,BOY,2015,481
LVA,GIRL,2015,483
SGP,BOY,2015,564
SGP,GIRL,2015,564
COL,BOY,2015,395
COL,GIRL,2015,384
HKG,BOY,2015,549
HKG,GIRL,2015,547
PER,BOY,2015,391
PER,GIRL,2015,382
TWN,BOY,2015,545
TWN,GIRL,2015,539
MAC,BOY,2015,540
MAC,GIRL,2015,548
