datum,etmaal_gemiddelde,minimum_temperatuur,maximum_temperatuur
20160701,169,139,196
20160702,148,113,190
20160703,158,113,204
20160704,175,101,230
20160705,154,112,202
20160706,154,93,208
20160707,170,77,223
20160708,184,143,220
20160709,200,158,250
20160710,217,144,290
20160711,187,152,232
20160712,166,111,219
20160713,142,97,190
20160714,150,89,202
20160715,165,88,222
20160716,195,154,248
20160717,197,140,255
20160718,213,130,282
20160719,244,138,315
20160720,259,174,350
20160721,215,160,276
20160722,208,165,259
20160723,214,172,266
20160724,205,150,262
20160725,186,123,240
20160726,187,104,239
20160727,181,141,218
20160728,191,153,240
20160729,182,146,221
20160730,175,143,208
20160731,169,115,215
